"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng"
"x3385832499","x1170735115275780098",2019-09-08 16:26:17,"d00mfr0gg","@Vordb “$40 to record the album? Fuck that, buy beer and we’ll just release everything we’ve made so far”","Twitter for iPhone",98,"x1170592991888773120","x229651780","Vordb",FALSE,FALSE,1,0,,,,,,,,,,,,,,"x229651780","Vordb","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/d00mfr0gg/status/1170735115275780098","50 Forts Along The Ryan","Crypts of Rays","Everything I create is unstable. Writer for @YourLastRites (Outro: The Winds of Mayhem) | ✨@frozencasket","https://t.co/5Z5O1AgI9M",FALSE,2620,256,22,24813,54089,2015-07-21 13:47:02,FALSE,"https://t.co/5Z5O1AgI9M","http://yourlastrites.com",,"https://pbs.twimg.com/profile_banners/3385832499/1553723637","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1137089911478202373/U5_gJVVK_normal.jpg",35.209059,-80.8467855
"x14280232","x1167510799608352778",2019-08-30 18:54:00,"INDJK","Drinking a Ceremonial Session IPA by @burialbeer @ Rhino Market and Deli — https://t.co/JaDwgOOZzU","Untappd",98,,,,FALSE,FALSE,0,0,,,"untp.beer/s/c798383209","https://t.co/JaDwgOOZzU","http://untp.beer/s/c798383209",,,,,,,,,"x252911655","BurialBeer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","35.2297 -80.8658","-80.8658 35.2297","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/INDJK/status/1167510799608352778","indie jake","Charlotte, NC","i make sandwiches for a living so I can buy board games and craft beer. mostly I live on @draftmechanic enjoy the Untappd checkins here. he/him","https://t.co/I2LPMpj9SL",FALSE,381,307,31,18986,147,2008-04-02 03:28:06,FALSE,"https://t.co/I2LPMpj9SL","http://draftmechanic.net",,"https://pbs.twimg.com/profile_banners/14280232/1436994386","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1145848805641904135/cUoMImz0_normal.jpg",35.2297,-80.8658
"x14280232","x1170105819532320768",2019-09-06 22:45:41,"INDJK","Drinking a Mai Concerto by @twistedbinebeer @ Earmarket — https://t.co/0AfyMDAaQx","Untappd",81,,,,FALSE,FALSE,0,0,,,"untp.beer/s/c801630148","https://t.co/0AfyMDAaQx","http://untp.beer/s/c801630148",,,,,,,,,"x751932730817019904","TwistedBineBeer","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","35.3411 -80.8046","-80.8046 35.3411","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/INDJK/status/1170105819532320768","indie jake","Charlotte, NC","i make sandwiches for a living so I can buy board games and craft beer. mostly I live on @draftmechanic enjoy the Untappd checkins here. he/him","https://t.co/I2LPMpj9SL",FALSE,381,307,31,18986,147,2008-04-02 03:28:06,FALSE,"https://t.co/I2LPMpj9SL","http://draftmechanic.net",,"https://pbs.twimg.com/profile_banners/14280232/1436994386","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1145848805641904135/cUoMImz0_normal.jpg",35.3411,-80.8046
"x14280232","x1167523892820402177",2019-08-30 19:46:02,"INDJK","251 - Drinking an Escape Plan by @townbrewing at @townbrewing  — https://t.co/SyDg8lKEmA","Untappd",88,,,,FALSE,FALSE,0,0,,,"untp.beer/s/c798425387","https://t.co/SyDg8lKEmA","http://untp.beer/s/c798425387",,,,,,,,,"x886034774367891456 x886034774367891456","townbrewing townbrewing","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","35.2298 -80.8658","-80.8658 35.2298","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/INDJK/status/1167523892820402177","indie jake","Charlotte, NC","i make sandwiches for a living so I can buy board games and craft beer. mostly I live on @draftmechanic enjoy the Untappd checkins here. he/him","https://t.co/I2LPMpj9SL",FALSE,381,307,31,18986,147,2008-04-02 03:28:06,FALSE,"https://t.co/I2LPMpj9SL","http://draftmechanic.net",,"https://pbs.twimg.com/profile_banners/14280232/1436994386","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1145848805641904135/cUoMImz0_normal.jpg",35.2298,-80.8658
"x14280232","x1170731686428065794",2019-09-08 16:12:39,"INDJK","Drinking a Juicy Jay by @LegionBrewing @ USNWC Trail Head — https://t.co/OzM24HrTeS","Untappd",83,,,,FALSE,FALSE,0,0,,,"untp.beer/s/c802690708","https://t.co/OzM24HrTeS","http://untp.beer/s/c802690708",,,,,,,,,"x457782343","LegionBrewing","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/3b98b02fba3f9753.json","North Carolina","North Carolina, USA","admin","United States","US","35.2708 -81.0052","-81.0052 35.2708","-84.3219475 -75.40012 -75.40012 -84.3219475 33.752879 33.752879 36.588118 36.588118","https://twitter.com/INDJK/status/1170731686428065794","indie jake","Charlotte, NC","i make sandwiches for a living so I can buy board games and craft beer. mostly I live on @draftmechanic enjoy the Untappd checkins here. he/him","https://t.co/I2LPMpj9SL",FALSE,381,307,31,18986,147,2008-04-02 03:28:06,FALSE,"https://t.co/I2LPMpj9SL","http://draftmechanic.net",,"https://pbs.twimg.com/profile_banners/14280232/1436994386","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1145848805641904135/cUoMImz0_normal.jpg",35.2708,-81.0052
"x14280232","x1170070088491372544",2019-09-06 20:23:42,"INDJK","Mmmm. Check off another 1 - Drinking a Citraquench'l by @HeistBrewery at @heistbrewery  — https://t.co/3fnCjoU1qB","Untappd",113,,,,FALSE,FALSE,0,0,,,"untp.beer/s/c801527404","https://t.co/3fnCjoU1qB","http://untp.beer/s/c801527404",,,,,,,,,"x306552378 x306552378","HeistBrewery HeistBrewery","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","35.2497 -80.8342","-80.8342 35.2497","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/INDJK/status/1170070088491372544","indie jake","Charlotte, NC","i make sandwiches for a living so I can buy board games and craft beer. mostly I live on @draftmechanic enjoy the Untappd checkins here. he/him","https://t.co/I2LPMpj9SL",FALSE,381,307,31,18986,147,2008-04-02 03:28:06,FALSE,"https://t.co/I2LPMpj9SL","http://draftmechanic.net",,"https://pbs.twimg.com/profile_banners/14280232/1436994386","http://abs.twimg.com/images/themes/theme6/bg.gif","http://pbs.twimg.com/profile_images/1145848805641904135/cUoMImz0_normal.jpg",35.2497,-80.8342
"x964336205344247808","x1170707456118480897",2019-09-08 14:36:22,"DaveFultonWrang","@LewisFranck @DullesDistrict  My first take as an old marketer was the Italian GP should be sponsored by an Italian wine, not by a Dutch beer!🙄 https://t.co/bCbpkGQ9Gz","Twitter for Android",130,"x1170705345024614400","x28130995","LewisFranck",FALSE,FALSE,1,0,,,,,,"http://pbs.twimg.com/media/ED8wOYoXYAUOSWy.jpg","https://t.co/bCbpkGQ9Gz","https://twitter.com/DaveFultonWrang/status/1170707456118480897/photo/1","photo","http://pbs.twimg.com/media/ED8wOYoXYAUOSWy.jpg http://pbs.twimg.com/media/ED8wOh7XYAYj8vS.jpg","https://t.co/bCbpkGQ9Gz https://t.co/bCbpkGQ9Gz","https://twitter.com/DaveFultonWrang/status/1170707456118480897/photo/1 https://twitter.com/DaveFultonWrang/status/1170707456118480897/photo/1",,"x28130995 x52431625","LewisFranck DullesDistrict","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/DaveFultonWrang/status/1170707456118480897","Dave Fulton","Charlotte, NC","Mgr Wrangler NASCAR Special Events 1980-1983. Named Individual Contributing Most to Racing Cup Scene. Motorsports Coordinator 7-Eleven. Richmond Media Mgr.",,FALSE,1399,1916,7,22953,37878,2018-02-16 03:10:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/964336205344247808/1561217030",,"http://pbs.twimg.com/profile_images/1142456271632818176/Hh5rjWa4_normal.png",35.209059,-80.8467855
"x1046791328586256385","x1169617197607596032",2019-09-05 14:24:05,"protagonistbeer","Are you excited for our Konrad Kölsch #beer release today?","Twitter for iPhone",58,,,,FALSE,FALSE,2,0,"beer",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/protagonistbeer/status/1169617197607596032","Protagonist","Charlotte, NC","Protagonist Clubhouse is a nano-brewery and taproom for curious drinkers in #NoDa.","https://t.co/l4M3wusZYj",FALSE,305,586,6,1032,1205,2018-10-01 15:57:55,FALSE,"https://t.co/l4M3wusZYj","http://bit.ly/ProtagonistBeerEvents",,"https://pbs.twimg.com/profile_banners/1046791328586256385/1565969893",,"http://pbs.twimg.com/profile_images/1053423716976246784/y5WJTWyp_normal.jpg",35.209059,-80.8467855
"x1046791328586256385","x1169288934070861824",2019-09-04 16:39:40,"protagonistbeer","Meet Konrad: a traditional German beer with an American twist (tapping tomorrow at 3pm)! This 5.5% ABV Kölsch shows off aromas of lemongrass and floral notes followed by a gentle bready malt base and soft fruity esters. A real crusher with a crisp, clean finish. #cltbeer https://t.co/qhiFUQHM9O","Twitter for iPhone",271,,,,FALSE,FALSE,11,2,"cltbeer",,,,,"http://pbs.twimg.com/media/EDomEs7W4AIKxsX.jpg","https://t.co/qhiFUQHM9O","https://twitter.com/protagonistbeer/status/1169288934070861824/photo/1","photo","http://pbs.twimg.com/media/EDomEs7W4AIKxsX.jpg","https://t.co/qhiFUQHM9O","https://twitter.com/protagonistbeer/status/1169288934070861824/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/protagonistbeer/status/1169288934070861824","Protagonist","Charlotte, NC","Protagonist Clubhouse is a nano-brewery and taproom for curious drinkers in #NoDa.","https://t.co/l4M3wusZYj",FALSE,305,586,6,1032,1205,2018-10-01 15:57:55,FALSE,"https://t.co/l4M3wusZYj","http://bit.ly/ProtagonistBeerEvents",,"https://pbs.twimg.com/profile_banners/1046791328586256385/1565969893",,"http://pbs.twimg.com/profile_images/1053423716976246784/y5WJTWyp_normal.jpg",35.209059,-80.8467855
"x1046791328586256385","x1168876760768888832",2019-09-03 13:21:51,"protagonistbeer","The first day back after a long weekend can be rough. Take the edge off at Beer&amp; Hops tonight! Try (4) 5 oz pours of different single-hop beers, then enjoy a full pour of your favorite! https://t.co/QGo6gchxYq
#cltbeer #ncbeer #hops https://t.co/casp8Kv4Fu","Twitter for iPhone",236,,,,FALSE,FALSE,6,1,"cltbeer ncbeer hops",,"bit.ly/BeerandHops","https://t.co/QGo6gchxYq","http://bit.ly/BeerandHops","http://pbs.twimg.com/media/EDivN8vWkAAM76u.jpg","https://t.co/casp8Kv4Fu","https://twitter.com/protagonistbeer/status/1168876760768888832/photo/1","photo","http://pbs.twimg.com/media/EDivN8vWkAAM76u.jpg","https://t.co/casp8Kv4Fu","https://twitter.com/protagonistbeer/status/1168876760768888832/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/512a8a4a4c4b4be0.json","Charlotte","Charlotte, NC","city","United States","US","NA NA","NA NA","-81.046876 -80.646695 -80.646695 -81.046876 35.001706 35.001706 35.416412 35.416412","https://twitter.com/protagonistbeer/status/1168876760768888832","Protagonist","Charlotte, NC","Protagonist Clubhouse is a nano-brewery and taproom for curious drinkers in #NoDa.","https://t.co/l4M3wusZYj",FALSE,305,586,6,1032,1205,2018-10-01 15:57:55,FALSE,"https://t.co/l4M3wusZYj","http://bit.ly/ProtagonistBeerEvents",,"https://pbs.twimg.com/profile_banners/1046791328586256385/1565969893",,"http://pbs.twimg.com/profile_images/1053423716976246784/y5WJTWyp_normal.jpg",35.209059,-80.8467855
