id,name,status,species,type,gender,origin.name,location.name
1,Rick Sanchez,Alive,Human,,Male,Earth (C-137),Earth (Replacement Dimension)
2,Morty Smith,Alive,Human,,Male,Earth (C-137),Earth (Replacement Dimension)
3,Summer Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
4,Beth Smith,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension)
5,Jerry Smith,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
6,Abadango Cluster Princess,Alive,Alien,,Female,Abadango,Abadango
7,Abradolf Lincler,unknown,Human,Genetic experiment,Male,Earth (Replacement Dimension),Testicle Monster Dimension
8,Adjudicator Rick,Dead,Human,,Male,unknown,Citadel of Ricks
9,Agency Director,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
10,Alan Rails,Dead,Human,Superhuman (Ghost trains summoner),Male,unknown,Worldender's lair
11,Albert Einstein,Dead,Human,,Male,Earth (C-137),Earth (Replacement Dimension)
12,Alexander,Dead,Human,,Male,Earth (C-137),Anatomy Park
13,Alien Googah,unknown,Alien,,unknown,unknown,Earth (Replacement Dimension)
14,Alien Morty,unknown,Alien,,Male,unknown,Citadel of Ricks
15,Alien Rick,unknown,Alien,,Male,unknown,Citadel of Ricks
16,Amish Cyborg,Dead,Alien,"Parasite, Cyborg",Male,unknown,Earth (Replacement Dimension)
17,Annie,Alive,Human,,Female,Earth (C-137),Anatomy Park
18,Antenna Morty,Alive,Human,Human with antennae,Male,unknown,Citadel of Ricks
19,Antenna Rick,unknown,Human,Human with antennae,Male,unknown,unknown
20,Ants in my Eyes Johnson,unknown,Human,Human with ants in his eyes,Male,unknown,Interdimensional Cable
21,Aqua Morty,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks
22,Aqua Rick,unknown,Humanoid,Fish-Person,Male,unknown,Citadel of Ricks
23,Arcade Alien,unknown,Alien,,Male,unknown,Immortality Field Resort
24,Armagheadon,Alive,Alien,Cromulon,Male,Signus 5 Expanse,Signus 5 Expanse
25,Armothy,Dead,unknown,Self-aware arm,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
26,Arthricia,Alive,Alien,Cat-Person,Female,Purge Planet,Purge Planet
27,Artist Morty,Alive,Human,,Male,unknown,Citadel of Ricks
28,Attila Starwar,Alive,Human,,Male,unknown,Interdimensional Cable
29,Baby Legs,Alive,Human,Human with baby legs,Male,unknown,Interdimensional Cable
30,Baby Poopybutthole,Alive,Poopybutthole,,Male,unknown,unknown
31,Baby Wizard,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension)
32,Bearded Lady,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension)
33,Beebo,Dead,Alien,,Male,Venzenulon 7,Venzenulon 7
34,Benjamin,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable
35,Bepisian,Alive,Alien,Bepisian,unknown,Bepis 9,Bepis 9
36,Beta-Seven,Alive,Alien,Hivemind,unknown,unknown,unknown
37,Beth Sanchez,Alive,Human,,Female,Earth (C-500A),Earth (C-500A)
38,Beth Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137)
39,Beth Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension)
40,Beth's Mytholog,Dead,Mytholog,,Female,Nuptia 4,Nuptia 4
41,Big Boobed Waitress,Alive,Humanoid,,Female,Fantasy World,Fantasy World
42,Big Head Morty,unknown,Human,Human with giant head,Male,unknown,Citadel of Ricks
43,Big Morty,Dead,Human,,Male,unknown,Citadel of Ricks
44,Body Guard Morty,Dead,Human,,Male,unknown,Citadel of Ricks
45,Bill,Alive,Human,,Male,Earth (C-137),Earth (C-137)
46,Bill,unknown,Animal,Dog,Male,Earth (Replacement Dimension),unknown
47,Birdperson,Dead,Alien,Bird-Person,Male,Bird World,Planet Squanch
48,Black Rick,Alive,Human,,Male,unknown,Citadel of Ricks
49,Blamph,Alive,Alien,,unknown,unknown,Interdimensional Cable
50,Blim Blam,Alive,Alien,Korblock,Male,unknown,Earth (Replacement Dimension)
51,Blue Diplomat,Alive,Alien,,Male,unknown,Interdimensional Cable
52,Blue Footprint Guy,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth
53,Blue Shirt Morty,unknown,Human,,Male,unknown,Citadel of Ricks
54,Bobby Moynihan,Alive,Human,,Male,unknown,Interdimensional Cable
55,Boobloosian,Dead,Alien,Boobloosian,unknown,unknown,Nuptia 4
56,Bootleg Portal Chemist Rick,Dead,Human,,Male,unknown,Citadel of Ricks
57,Borpocian,Alive,Alien,Elephant-Person,Male,unknown,unknown
58,Brad,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
59,Brad Anderson,Dead,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension)
60,Calypso,Dead,Human,Superhuman,Female,unknown,unknown
61,Campaign Manager Morty,Dead,Human,,Male,unknown,Citadel of Ricks
62,Canklanker Thom,Dead,Alien,Gromflomite,Male,Gromflom Prime,unknown
63,Centaur,Alive,Humanoid,Centaur,Male,unknown,Mr. Goldenfold's dream
64,Chris,Dead,Alien,Organic gun,unknown,unknown,Earth (Replacement Dimension)
